Country,Indicator,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
France,Sulphur Oxides,22.685,23.58,20.92,18.123,16.813,15.795,15.507,13.064,13.548,11.859,10.139,9.15,8.372,8.017,7.611,7.26,6.692,6.321,5.394,4.53,4.151,3.361,3.301,3.026,2.365,2.245,1.956,1.886,1.794,1.442,1.312,1.308
France,Nitrogen Oxides,38.403,38.037,37.588,35.525,34.045,33.287,32.745,31.512,31.795,30.996,29.797,28.933,28.011,27.007,26.066,25.088,23.514,22.282,20.948,19.752,18.972,18.001,17.506,17.129,15.842,15.443,14.667,14.172,13.305,12.475,10.846,11.087
France,Particulates (PM10),10.374,10.99,10.54,10.058,9.297,9.293,9.632,8.921,8.8,8.435,7.913,7.776,7.335,7.465,7.267,6.841,6.339,5.966,5.89,5.634,5.847,5.027,5.197,5.217,4.487,4.523,4.569,4.424,4.2,4.122,3.663,3.99
France,Particulates (PM2.5),8.245,8.889,8.536,8.211,7.461,7.462,7.762,7.074,7.003,6.653,6.188,6.098,5.711,5.829,5.649,5.318,4.863,4.545,4.508,4.335,4.529,3.727,3.904,3.947,3.276,3.299,3.347,3.17,2.974,2.896,2.542,2.792
France,Carbon Monoxide,188.785,188.927,177.463,167.317,154.792,151.93,143.697,133.599,128.827,121.061,110.409,104.191,100.763,96.804,98.197,90.243,80.855,76.429,73.457,66.275,72.581,59.221,54.864,55.526,46.012,45.551,46.467,45.146,42.805,41.769,36.424,39.932
France,Non-methane Volatile Organic Compounds,51.602,50.509,49.098,46.68,43.857,42.382,41.382,39.446,38.503,37.078,35.379,34.012,31.885,31.269,29.557,28.311,26.728,24.647,23.595,22.196,22.612,20.76,19.926,19.699,18.696,18.195,18.037,17.98,17.342,16.75,16.644,17.184
Germany,Sulphur Oxides,68.786,49.538,40.144,35.753,29.665,21.331,18.013,14.936,11.913,9.715,7.815,7.549,6.772,6.436,5.955,5.732,5.752,5.549,5.485,4.794,4.928,4.822,4.582,4.425,4.142,4.088,3.759,3.642,3.494,3.128,2.898,3.058
Germany,Nitrogen Oxides,35.748,32.648,30.527,29.031,27.313,26.491,25.397,24.443,24.075,23.612,22.624,21.908,21.15,20.62,20.086,19.512,19.708,19.171,18.529,17.47,17.731,17.804,17.71,17.7,17.092,16.632,16.078,15.34,14.238,13.189,11.671,11.587
Germany,Particulates (PM10),,,,,,4.247,4.032,4.09,3.941,3.867,3.684,3.496,3.4,3.23,3.136,3.016,3.003,2.891,2.857,2.655,2.792,2.835,2.789,2.8,2.688,2.641,2.441,2.463,2.524,2.357,2.19,2.213
Germany,Particulates (PM2.5),,,,,,2.467,2.312,2.301,2.176,2.116,2.01,1.933,1.85,1.772,1.711,1.639,1.628,1.563,1.52,1.387,1.459,1.428,1.405,1.381,1.278,1.258,1.178,1.159,1.144,1.085,0.979,1.003
